Program;Dosežen naziv, strokovni in znanstveni naslov;Zavod;KLASIUS-SRV koda;KLASIUS-SRV deskriptor;KLASIUS-SRV deskriptor (angleški);KLASIUS-P16 koda;KLASIUS-P16 deskriptor;KLASIUS-P16 deskriptor (angleški)
Organizacija in management poslovnih in delovnih sistemov;doktor znanosti;;18202;Doktorsko izobraževanje(tretja bolonjska stopnja)/doktorat znanosti (tretja bolonjska stopnja);Education leading to doctorate of science (third Bologna cycle)/Doctorate of science (third Bologna cycle);="0488";Interdisciplinarne izobraževalne aktivnosti/izidi, pretežno poslovne in upravne vede, pravo;Inter-disciplinary programmes and qualifications involving business, administration and law;
Organizacija in management poslovnih in delovnih sistemov;magister organizator;;17003;Magistrsko izobraževanje (druga bolonjska stopnja)/magistrska izobrazba (druga bolonjska stopnja);Master's education (second Bologna cycle)/Master (second Bologna cycle);="0488";Interdisciplinarne izobraževalne aktivnosti/izidi, pretežno poslovne in upravne vede, pravo;Inter-disciplinary programmes and qualifications involving business, administration and law;
Organizacija in management poslovnih in delovnih sistemov;magister poslovnih sistemov;;17003;Magistrsko izobraževanje (druga bolonjska stopnja)/magistrska izobrazba (druga bolonjska stopnja);Master's education (second Bologna cycle)/Master (second Bologna cycle);="0488";Interdisciplinarne izobraževalne aktivnosti/izidi, pretežno poslovne in upravne vede, pravo;Inter-disciplinary programmes and qualifications involving business, administration and law;
Organizacija in management sistemov;univerzitetni diplomirani organizator;;17002;Visokošolsko univerzitetno izobraževanje (prejšnje)/visokošolska univerzitetna izobrazba (prejšnja);Academic higher education (former)/Academic higher education (former);="0488";Interdisciplinarne izobraževalne aktivnosti/izidi, pretežno poslovne in upravne vede, pravo;Inter-disciplinary programmes and qualifications involving business, administration and law;
Organizator socialne mreže;organizator socialne mreže;;16101;Višje strokovno izobraževanje/višja strokovna izobrazba;Higher vocational education/Higher vocational education;="0923";Socialno delo in svetovanje;Social work and counselling;
Organiziranje in menedžment socialnih dejavnosti;diplomant organiziranja in menedžmenta socialnih dejavnosti (VS);;16203;Visokošolsko strokovno izobraževanje (prva bolonjska stopnja)/visokošolska strokovna izobrazba (prva bolonjska stopnja);Professional higher education (first Bologna cycle)/Professional higher education (first Bologna cycle);="0488";Interdisciplinarne izobraževalne aktivnosti/izidi, pretežno poslovne in upravne vede, pravo;Inter-disciplinary programmes and qualifications involving business, administration and law;
Organiziranje in menedžment socialnih dejavnosti;magister organiziranja in menedžmenta socialnih dejavnosti;;17003;Magistrsko izobraževanje (druga bolonjska stopnja)/magistrska izobrazba (druga bolonjska stopnja);Master's education (second Bologna cycle)/Master (second Bologna cycle);="0488";Interdisciplinarne izobraževalne aktivnosti/izidi, pretežno poslovne in upravne vede, pravo;Inter-disciplinary programmes and qualifications involving business, administration and law;
Orodjar;orodjar;;14001;Srednje poklicno izobraževanje/srednja poklicna izobrazba;Vocational upper secondary education/Vocational upper secondary education;="0715";Metalurgija, strojništvo in kovinarstvo;Mechanics and metal trades;
Orodni kljuèavnièar;orodni kljuèavnièar;;14001;Srednje poklicno izobraževanje/srednja poklicna izobrazba;Vocational upper secondary education/Vocational upper secondary education;="0715";Metalurgija, strojništvo in kovinarstvo;Mechanics and metal trades;
Ortopedska tehnika;diplomirani inženir ortotike in protetike;;16202;Visokošolsko strokovno izobraževanje (prejšnje)/visokošolska strokovna izobrazba (prejšnja);Professional higher education (former)/Professional higher education (former);="0914";Medicinska diagnostièna in terapevtska tehnologija;Medical diagnostic and treatment technology;
Ortopedska tehnika;inženir ortopedske tehnike;;16102;Višješolsko izobraževanje (prejšnje)/višješolska izobrazba (prejšnja);Short-term higher education (former)/Short-term higher education (former);="0914";Medicinska diagnostièna in terapevtska tehnologija;Medical diagnostic and treatment technology;
Ortotika in protetika;diplomirani ortotik in protetik (VS);;16203;Visokošolsko strokovno izobraževanje (prva bolonjska stopnja)/visokošolska strokovna izobrazba (prva bolonjska stopnja);Professional higher education (first Bologna cycle)/Professional higher education (first Bologna cycle);="0914";Medicinska diagnostièna in terapevtska tehnologija;Medical diagnostic and treatment technology;
Osebna nega, A - frizer;frizer;;14001;Srednje poklicno izobraževanje/srednja poklicna izobrazba;Vocational upper secondary education/Vocational upper secondary education;="1012";Frizerske in druge lepotilne storitve;Hair and beauty services;
Osebna nega, B - kozmetik;kozmetik;;14001;Srednje poklicno izobraževanje/srednja poklicna izobrazba;Vocational upper secondary education/Vocational upper secondary education;="1012";Frizerske in druge lepotilne storitve;Hair and beauty services;
Oskrbnik;oskrbnik;;14001;Srednje poklicno izobraževanje/srednja poklicna izobrazba;Vocational upper secondary education/Vocational upper secondary education;="1011";Storitve za gospodinjstva;Domestic services;
Osnovna šola, 8-letni in 9-letni programi z enakovrednim izobrazbenim standardom;nedoloèeno;;12001;0snovnošolsko izobraževanje višje stopnje/osnovnošolska izobrazba;Second stage of basic education/Basic education;="0011";Splošne izobraževalne aktivnosti/izidi;Basic programmes and qualifications;
Osnovna šola, 8-letni in 9-letni programi z nižjim izobrazbenim standardom;nedoloèeno;;11003;Izpolnjena osnovnošolska obveznost/nepopolna višja stopnja osnovnošolske izobrazbe;Fulfilled basic education requirement/Incomplete second stage of basic education;="0011";Splošne izobraževalne aktivnosti/izidi;Basic programmes and qualifications;
Osnovna šola, programi z enakovrednim izobrazbenim standardom/ 8-letni: 1 do 3 razredi, 9-letni: 1 do 5 razredov;nedoloèeno;;11001;Osnovnošolsko izobraževanje nižje stopnje/nepopolna nižja stopnja osnovnošolske izobrazbe;First stage of basic education/Incomplete first stage of basic education;="0011";Splošne izobraževalne aktivnosti/izidi;Basic programmes and qualifications;
Osnovna šola, programi z enakovrednim izobrazbenim standardom/ 8-letni: 4 do 7 razredov, 9-letni: 6 do 8 razredov;nedoloèeno;;11002;Osnovnošolsko izobraževanje nižje stopnje/popolna nižja stopnja osnovnošolske izobrazbe;First stage of basic education/Complete first stage of basic education;="0011";Splošne izobraževalne aktivnosti/izidi;Basic programmes and qualifications;
Osnovna šola, programi z enakovrednim izobrazbenim standardom/ 8-letni: izpolnjena osnovnošolska obveznost in 4 do 7 razredov, 9-letni: izpolnjena osnovnošolska obveznost in 6 do 8 razredov;nedoloèeno;;11003;Izpolnjena osnovnošolska obveznost/nepopolna višja stopnja osnovnošolske izobrazbe;Fulfilled basic education requirement/Incomplete second stage of basic education;="0011";Splošne izobraževalne aktivnosti/izidi;Basic programmes and qualifications;
Osnovna šola, programi z nižjim izobrazbenim standardom/ 8-letni: 1 do 3 razredi, 9-letni: 4 do 7 razredov;nedoloèeno;;11001;Osnovnošolsko izobraževanje nižje stopnje/nepopolna nižja stopnja osnovnošolske izobrazbe;First stage of basic education/Incomplete first stage of basic education;="0011";Splošne izobraževalne aktivnosti/izidi;Basic programmes and qualifications;
Osnovna šola, programi z nižjim izobrazbenim standardom/ 8-letni: 4 do 7 razredov, 9-letni: 6 do 8 razredov;nedoloèeno;;11002;Osnovnošolsko izobraževanje nižje stopnje/popolna nižja stopnja osnovnošolske izobrazbe;First stage of basic education/Complete first stage of basic education;="0011";Splošne izobraževalne aktivnosti/izidi;Basic programmes and qualifications;
Osnovna šola, programi z nižjim izobrazbenim standardom/ 8-letni: izpolnjena osnovnošolska obveznost in 4 do 7 razredov, 9-letni: izpolnjena osnovnošolska obveznost in 6 do 8 razredov;nedoloèeno;;11003;Izpolnjena osnovnošolska obveznost/nepopolna višja stopnja osnovnošolske izobrazbe;Fulfilled basic education requirement/Incomplete second stage of basic education;="0011";Splošne izobraževalne aktivnosti/izidi;Basic programmes and qualifications;
Ostrenje enostavnega rezilnega orodja (USO II);pomožni brusilec;;13001;Nižje poklicno izobraževanje/nižja poklicna izobrazba;Short-term vocational upper secondary education/Short-term vocational upper secondary education;="0715";Metalurgija, strojništvo in kovinarstvo;Mechanics and metal trades;
Ostrilec;ostrilec;;14001;Srednje poklicno izobraževanje/srednja poklicna izobrazba;Vocational upper secondary education/Vocational upper secondary education;="0715";Metalurgija, strojništvo in kovinarstvo;Mechanics and metal trades;
Paliativna oskrba;magister paliativne oskrbe;;17003;Magistrsko izobraževanje (druga bolonjska stopnja)/magistrska izobrazba (druga bolonjska stopnja);Master's education (second Bologna cycle)/Master (second Bologna cycle);="0919";Zdravstvo, drugo;Health not elsewhere classified;
Papirnièar;papirnièar;;14001;Srednje poklicno izobraževanje/srednja poklicna izobrazba;Vocational upper secondary education/Vocational upper secondary education;="0722";Lesarska, papirniška, plastièna, steklarska in podobna tehnologija;Materials (glass, paper, plastic and wood);
Papirniški tehnik;papirniški tehnik;;15001;Srednje tehniško in drugo strokovno izobraževanje/srednja strokovna izobrazba;Technical upper secondary education/Technical upper secondary education;="0722";Lesarska, papirniška, plastièna, steklarska in podobna tehnologija;Materials (glass, paper, plastic and wood);
Papirniški tehnolog, A - papirnièar;papirnièar;;14001;Srednje poklicno izobraževanje/srednja poklicna izobrazba;Vocational upper secondary education/Vocational upper secondary education;="0722";Lesarska, papirniška, plastièna, steklarska in podobna tehnologija;Materials (glass, paper, plastic and wood);
Papirniški tehnolog, B - papirniški tehnik;papirniški tehnik;;15001;Srednje tehniško in drugo strokovno izobraževanje/srednja strokovna izobrazba;Technical upper secondary education/Technical upper secondary education;="0722";Lesarska, papirniška, plastièna, steklarska in podobna tehnologija;Materials (glass, paper, plastic and wood);
Papirništvo, A - papirnièar;papirnièar;;14001;Srednje poklicno izobraževanje/srednja poklicna izobrazba;Vocational upper secondary education/Vocational upper secondary education;="0722";Lesarska, papirniška, plastièna, steklarska in podobna tehnologija;Materials (glass, paper, plastic and wood);
Papirništvo, B - papirniški tehnik;papirniški tehnik;;15001;Srednje tehniško in drugo strokovno izobraževanje/srednja strokovna izobrazba;Technical upper secondary education/Technical upper secondary education;="0722";Lesarska, papirniška, plastièna, steklarska in podobna tehnologija;Materials (glass, paper, plastic and wood);
Parketar;parketar;;13001;Nižje poklicno izobraževanje/nižja poklicna izobrazba;Short-term vocational upper secondary education/Short-term vocational upper secondary education;="0732";Gradbeništvo;Building and civil engineering;
Parkovni vrtnar-cvetlièar;parkovni vrtnar-cvetlièar;;14001;Srednje poklicno izobraževanje/srednja poklicna izobrazba;Vocational upper secondary education/Vocational upper secondary education;="0812";Hortikultura;Horticulture;
Pasar;pasar;;14001;Srednje poklicno izobraževanje/srednja poklicna izobrazba;Vocational upper secondary education/Vocational upper secondary education;="0715";Metalurgija, strojništvo in kovinarstvo;Mechanics and metal trades;
Pastoralna teologija;specialist pastoralne teologije;;17001;Specialistièno izobraževanje po visokošolski strokovni izobrazbi (prejšnje)/specializacija po visokošolski strokovni izobrazbi (prejšnja);Specialization after professional higher education (former)/Specialization after professional higher education (former);="0221";Religija in teologija;Religion and theology;
